system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
5,6,0.1230523676772097,0.0254407906778109,-0.1157437987163644,380.5907246519584,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-06,20.73,177.7,90.93,1.2246467991473532e-16,-1.0,0.3064159803128473,-0.2570669470910856,-0.2904732170192132,176.7,68.5,84.93333333333325,21.79,86.13,15219.170999999998,1
6,7,0.0142836434693635,0.0709749719835636,-0.0266933168826233,721.7000811325034,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-07,19.0,732.5,97.06,-0.4999999999999997,-0.8660254037844388,0.1230523676772097,-0.1157437987163644,-0.2570669470910856,177.7,176.7,140.96666666666658,20.73,90.93,16158.261,1
7,8,0.1334361697842159,0.0937958408835965,-0.1246643217059851,174.686628466769,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-08,20.0,160.8,90.42,-0.8660254037844384,-0.5000000000000004,0.0142836434693635,-0.0266933168826233,-0.1157437987163644,732.5,177.7,362.2999999999999,19.0,97.06,71096.45,1
8,9,0.0796488571338113,0.071477620325863,-0.0792157472625509,123.88080136279508,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-09,19.87,239.0,92.93,-1.0,-1.8369701987210297e-16,0.1334361697842159,-0.1246643217059851,-0.0266933168826233,160.8,732.5,356.99999999999994,20.0,90.42,14539.536000000002,1
9,10,0.3229684631273397,0.1278158667972576,-0.2626283871585163,193.5791797691357,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-10,20.64,148.3,84.87,-0.8660254037844386,0.5000000000000001,0.0796488571338113,-0.0792157472625509,-0.1246643217059851,239.0,160.8,377.4333333333332,19.87,92.93,22210.27,0
10,11,0.2848916308978213,0.1247902955220028,-0.2373039079081875,154.4700812798061,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-11,20.6,63.1,81.1,-0.5000000000000004,0.8660254037844384,0.3229684631273397,-0.2626283871585163,-0.0792157472625509,148.3,239.0,182.69999999999993,20.64,84.87,12586.221000000001,0
11,12,0.2587875497119197,0.123196448390677,-0.2135938638783219,58.70874913678366,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",2023-12,20.36,11.8,74.77,-2.4492935982947064e-16,1.0,0.2848916308978213,-0.2373039079081875,-0.2626283871585163,63.1,148.3,150.13333333333327,20.6,81.1,5117.41,0
0,1,0.3082108775288477,0.1345319280843149,-0.2484178483143628,31.719310081310866,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-01,20.22,16.6,72.32,0.49999999999999994,0.8660254037844387,0.2587875497119197,-0.2135938638783219,-0.2373039079081875,11.8,63.1,74.39999999999993,20.36,74.77,882.2860000000001,0
1,2,0.341104082011278,0.2154185022026431,-0.2884195361489702,3.626038691975629,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-02,21.9,0.6,58.38,0.8660254037844386,0.5000000000000001,0.3082108775288477,-0.2484178483143628,-0.2135938638783219,16.6,11.8,30.499999999999925,20.22,72.32,1200.512,0
2,3,0.3214418295300347,0.1395279354645951,-0.2723839713841534,2.7912594429934634,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-03,23.28,5.7,66.94,1.0,6.123233995736766e-17,0.341104082011278,-0.2884195361489702,-0.2484178483143628,0.6,16.6,9.666666666666591,21.9,58.38,35.028,0
3,4,0.3320368403455492,0.1093516582013743,-0.2877797641818403,27.69303627267153,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-04,24.36,26.5,72.3,0.8660254037844387,-0.4999999999999998,0.3214418295300347,-0.2723839713841534,-0.2884195361489702,5.7,0.6,7.633333333333258,23.28,66.94,381.558,0
4,5,0.2203326610720899,0.0792044250912086,-0.1917746850209081,270.6419273828077,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-05,22.3,379.3,88.06,0.49999999999999994,-0.8660254037844387,0.3320368403455492,-0.2877797641818403,-0.2723839713841534,26.5,5.7,10.933333333333257,24.36,72.3,1915.9499999999998,0
5,6,0.0802485281235857,0.0320319345730698,-0.0815030156233912,564.0578645702291,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-06,20.35,327.5,93.97,1.2246467991473532e-16,-1.0,0.2203326610720899,-0.1917746850209081,-0.2877797641818403,379.3,26.5,137.1666666666666,22.3,88.06,33401.158,1
6,7,0.0052107389526413,0.0230744231394215,-0.0193775974435629,995.753997957755,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-07,19.28,772.5,96.84,-0.4999999999999997,-0.8660254037844388,0.0802485281235857,-0.0815030156233912,-0.1917746850209081,327.5,379.3,244.43333333333325,20.35,93.97,30775.175,1
7,8,0.0302578283313878,0.0502645502645502,-0.0397751764084525,688.1324280881059,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-08,19.94,383.1,93.61,-0.8660254037844384,-0.5000000000000004,0.0052107389526413,-0.0193775974435629,-0.0815030156233912,772.5,327.5,493.0999999999999,19.28,96.84,74808.90000000001,1
8,9,0.0671888119512638,0.1724288125442369,-0.069294689240848,138.6739205518036,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",2024-09,19.6,222.8,93.0,-1.0,-1.8369701987210297e-16,0.0302578283313878,-0.0397751764084525,-0.0193775974435629,383.1,772.5,494.3666666666666,19.94,93.61,35861.991,1
