date,temperature_c,rainfall_mm,humidity_percent
2019-05-24,21.8,12.3,91
2019-05-25,22.3,6.0,87
2019-05-26,22.1,5.0,89
2019-05-27,22.3,7.9,88
2019-05-28,22.8,6.2,88
2019-05-29,23.0,2.1,86
2019-05-30,22.4,9.0,89
2019-05-31,21.6,10.3,91
2019-06-01,22.4,3.0,89
2019-06-02,22.1,17.4,92
2019-06-03,20.5,11.5,95
2019-06-04,21.7,0.7,87
2019-06-05,21.9,11.5,89
2019-06-06,22.0,9.3,89
2019-06-07,21.9,21.8,91
2019-06-08,22.0,3.7,87
2019-06-09,21.7,2.1,87
2019-06-10,20.4,15.0,95
2019-06-11,20.6,13.1,95
2019-06-12,20.5,17.9,96
2019-06-13,20.6,9.2,94
2019-06-14,20.4,10.7,96
2019-06-15,21.0,4.6,90
2019-06-16,21.6,0.9,87
2019-06-17,20.9,1.2,89
2019-06-18,20.4,3.2,91
2019-06-19,20.5,9.4,95
2019-06-20,19.7,11.5,97
2019-06-21,19.4,21.4,100
2019-06-22,19.3,24.4,100
2019-06-23,20.0,14.5,96
2019-06-24,20.2,12.1,95
2019-06-25,20.5,5.4,93
2019-06-26,20.1,9.8,94
2019-06-27,20.1,8.8,96
2019-06-28,20.2,9.0,92
2019-06-29,19.5,13.5,96
2019-06-30,19.4,14.6,97
2019-07-01,20.1,8.9,95
2019-07-02,19.8,12.3,96
2019-07-03,19.7,18.8,97
2019-07-04,19.8,14.1,97
2019-07-05,19.5,17.0,98
2019-07-06,19.6,13.3,96
2019-07-07,19.5,11.5,96
2019-07-08,19.9,10.9,95
2019-07-09,19.6,59.7,99
2019-07-10,18.4,116.1,100
2019-07-11,19.8,6.3,93
2019-07-12,20.2,2.9,90
2019-07-13,20.2,3.3,91
2019-07-14,19.5,7.7,96
2019-07-15,19.4,6.8,96
2019-07-16,19.2,19.0,98
2019-07-17,18.9,14.6,98
2019-07-18,19.6,15.6,96
2019-07-19,19.2,48.9,97
2019-07-20,18.9,29.8,100
2019-07-21,19.0,78.6,100
2019-07-22,18.5,77.5,100
2019-07-23,18.5,33.2,100
2019-07-24,19.2,8.0,96
2019-07-25,19.3,6.1,96
2019-07-26,18.8,12.4,100
2019-07-27,19.3,6.5,97
2019-07-28,18.8,7.2,96
2019-07-29,18.5,9.0,98
2019-07-30,18.9,7.0,96
2019-07-31,19.3,7.6,94
2019-08-01,19.4,7.2,93
2019-08-02,19.1,7.8,93
2019-08-03,19.2,8.5,96
2019-08-04,19.3,23.6,97
2019-08-05,19.0,38.5,99
2019-08-06,19.4,43.1,98
2019-08-07,19.3,46.3,98
2019-08-08,19.4,31.4,98
2019-08-09,18.9,31.8,99
2019-08-10,18.3,50.6,100
2019-08-11,19.1,12.8,96
2019-08-12,18.9,15.7,97
2019-08-13,18.9,20.5,99
2019-08-14,18.7,42.8,100
2019-08-15,18.8,18.0,98
2019-08-16,19.1,10.0,96
2019-08-17,19.2,5.2,96
2019-08-18,19.3,6.2,95
2019-08-19,19.8,5.8,95
2019-08-20,19.7,8.8,96
2019-08-21,19.3,8.7,97
2019-08-22,18.9,14.6,98
2019-08-23,18.9,11.6,97
2019-08-24,18.9,14.4,99
2019-08-25,18.8,16.8,98
2019-08-26,19.2,18.0,95
2019-08-27,19.4,5.1,94
2019-08-28,19.5,8.1,96
